//  GERMAN STRDAT.TXT latest version with all the changes up to Sept 18th (I hope)

//  ASCII European Special Characters
//  Ä ¸ Ç É ‰ ...  á à  ä  ç ƒ  ê  " ï - -  ÷ ‹    ° ¢ £  ﬂ
//  WIN European Special Characters
//  « ¸ È ‚ ‰ ‡  Á Í  Ë  Ï ƒ  …  ˆ Ú ˚ ˘  ÷ ‹  ﬂ Ì Û ˙  ﬂ

//  # the first NEWBLOCK is built for you so start with enumerations and strings
//  GERMAN VERSION ¸berarbeitet am 2.7.97 von Antje, 16:45 Uhr
//  last revised by Antje 9.7.97, LAST EDITED with additional translations August 26th 97
//  (additional data from birthright cd dated 8/17/97, saved as ms dos text
//  3 more changes according to bugreport from sascha implemented August 29th 97
// comparing german strings to english strings (received sept 18th), saved as text only



// menu data
STR_UI_ACTN		UI\\ACT_PNL.PCX
STR_UI_HELP		UI\\HELPPNL1.PCX
STR_UI_HELP1	UI\\HLPPANL2.PCX
STR_UI_MAINPANL	UI\\MAINPANL.PCX
STR_UI_OKAY		UI\\OKAY.PCX
STR_UI_L_S_PANL	UI\\L&S_PANL.PCX
STR_UI_OPT_PANL	UI\\OPT_PANL.PCX
STR_UI_STS_PANL	UI\\STS_PANL.PCX
STR_UI_INV_PANL	UI\\INV_PANL.PCX
STR_UI_MSGBOX	UI\\MSGBOX.PCX
STR_UI_PANEL	UI\\BATLPNL1.PCX
STR_UI_SCMBT_UI	UI\\SCMBT_UI.PCX
STR_UI_EXTRA_16	UI\\EXTRA_16.PCX
STR_UI_SCMBT_UE	UI\\SCMBT_UE.PCX
STR_UI_CHOOSBTL	UI\\CHOOSBTL.PCX
STR_UI_INFODLOG	UI\\INFODLOG.PCX
STR_UI_WARCARD	UI\\WARCARD.PCX
STR_UI_DROLL_F	UI\\DROLL_F.PCX
STR_VICTORY_SCREEN	UI\\VCTPANL1.PCX
STR_DEFEAT_SCREEN	UI\\DFTPANL1.PCX
STR_UI_CHATSEL	UI\\CHATPNL1.PCX

STR_NULL	~
STR_ESC	ESC
STR_YES	^C127J^C000a
STR_NO	^C127N^C000ein
STR_OK	^C127O^C000k
STR_RETRY	^C127W^C000iederholen
STR_CANCEL	^C127A^C000bbruch
STR_DONE	^C127F^C000ertig
STR_BACK	^C127Z^C000ur¸ck
STR_CREDITS	^C127M^C000itwirkende
STR_NEVER	^C127N^C000ie
STR_GO_AWAY	^C127W^C000egschicken
STR_ACCEPT	^C127A^C000kzeptieren
STR_IMPROVE	^C127V^C000erbessern

STR_ASK_QUIT_SYS	Mˆchten Sie wirklich aufhˆren?

STR_PAUSE	Spielpause; Dr¸cken Sie \"t\", um weiterzuspielen.
STR_SPACE	^F03Dr¸cken Sie die LEERTASTE, um zur¸ckzukehren.

STR_PLAYER_WAIT	Warte auf Gegner.

STR_ADVENT	will sich in ein Abenteuer st¸rzen.

STR_CHATSEL_TITLE	Spieler
STR_CHATSEL_1	W‰hlen Sie, wer Ihre Nachrichten erhalten soll.
STR_CHATSEL_2	Alle Spieler
STR_CHATSEL_AS	als
STR_CHATSEL_RO	, Regent von

STR_MULTIJOIN_1	Warte auf
STR_MULTIJOIN_2	mehr Spieler.

STR_MULTIWAIT_TITLE	Warte
STR_MULTIWAIT_REALM	Warte darauf, daﬂ die anderen Spieler ein Reich w‰hlen.
STR_MULTIWAIT_NOT	hat kein Reich gew‰hlt.

STR_VOTEWAIT	antwortet nicht.
STR_VOTEPOS	ist einverstanden.
STR_VOTENEG	ist nicht einverstanden.

STR_MULTIQUIT	Multiplayer-Spiel verlassen?

STR_MULTIMENU_TITLE	^X075                        Multiplayer Modus
STR_MULTIMENU_YN	Ihr Name:
STR_MULTIMENU_NAME	Name:
STR_MULTIMENU_PROT	Protokoll:
STR_MULTIMENU_GAME	Spiel:
STR_MULTIMENU_SPEED		Geschwindigkeit:
STR_MULTIMENU_PLAYR	Spieler:
